# HJD    Mag    Mag_err
6912.37776000    -0.00029    0.00809
6912.37801000    0.00050    0.00810
6912.37828000    -0.00124    0.00837
6912.37853000    -0.00235    0.00823
6912.37879000    0.00149    0.00817
6912.37904000    -0.00225    0.00809
6912.37930000    0.00247    0.00817
6912.37955000    0.00046    0.00812
6912.37981000    0.00102    0.00815
6912.38006000    0.00184    0.00825
6912.38032000    -0.00119    0.00812
6912.38057000    -0.00056    0.00815
6912.38108000    -0.00205    0.00809
6912.38134000    0.00572    0.00824
6912.38159000    -0.00159    0.00826
6912.38184000    -0.00042    0.00814
6912.38211000    -0.00293    0.00810
6912.38237000    0.00220    0.00819
6912.38287000    -0.00010    0.00819
6912.38313000    -0.00072    0.00812
6912.38338000    -0.00882    0.00851
6912.38364000    0.00470    0.00837
6912.38415000    0.00711    0.00830
6912.38440000    0.00067    0.00822
6912.38466000    -0.00349    0.00841
6912.38491000    0.00013    0.00818
6912.38517000    0.00317    0.00833
6912.38542000    -0.00325    0.00814
6912.38568000    -0.00065    0.00820
6912.38593000    -0.00210    0.00817
6912.38620000    -0.00577    0.00812
6912.38671000    0.00389    0.00833
6912.38722000    0.00040    0.00829
6912.38772000    -0.00232    0.00823
6912.38823000    0.00368    0.00835
6912.38849000    -0.00009    0.00827
6912.38874000    0.00336    0.00832
6912.38925000    0.00147    0.00832
6912.38951000    0.00473    0.00837
6912.38976000    -0.00166    0.00829
6912.39003000    -0.00158    0.00864
6912.39028000    0.00507    0.00846
6912.39054000    -0.00122    0.00845
6912.39079000    -0.00168    0.00825
6912.39105000    -0.00075    0.00863
6912.39181000    -0.00144    0.00830
6912.39206000    0.00293    0.00838
6912.39232000    -0.00081    0.00841
6912.39257000    -0.00564    0.00943
6912.39283000    -0.00821    0.00923
6912.39334000    0.00100    0.00837
6912.39360000    -0.00214    0.00832
6912.39386000    -0.00720    0.00827
6912.39411000    0.00374    0.00847
6912.39437000    0.00017    0.00839
6912.39462000    0.00009    0.00843
6912.39488000    0.00161    0.00843
6912.39513000    -0.00281    0.00864
6912.39539000    -0.00160    0.00847
6912.39564000    0.00334    0.00846
6912.39590000    -0.00179    0.00852
6912.39640000    -0.01126    0.00884
6912.39666000    -0.00011    0.00843
6912.39691000    -0.00161    0.00836
6912.39717000    -0.00274    0.00848
6912.39742000    -0.00176    0.00863
6912.39769000    0.00173    0.00853
6912.39794000    -0.00559    0.00846
6912.39820000    -0.00020    0.00850
6912.39845000    0.00103    0.00844
6912.39871000    0.00346    0.00852
6912.39896000    -0.00326    0.00845
6912.39922000    0.00033    0.00848
6912.39947000    0.00120    0.00940
6912.39973000    -0.00057    0.00840
6912.39998000    0.00332    0.00860
6912.40024000    -0.00042    0.00868
6912.40049000    0.00279    0.00850
6912.40074000    0.00363    0.00858
6912.40100000    -0.00284    0.00865
6912.40125000    0.00583    0.00857
6912.40151000    0.00340    0.00857
6912.40177000    -0.00104    0.00847
6912.40203000    0.00332    0.00859
6912.40228000    0.00620    0.00858
6912.40254000    0.00031    0.00847
6912.40305000    -0.00139    0.00846
6912.40330000    0.00024    0.00858
6912.40356000    -0.00053    0.00844
6912.40381000    -0.00105    0.00876
6912.40432000    0.00271    0.00859
6912.40458000    -0.00047    0.00876
6912.40483000    0.00112    0.00851
6912.40509000    0.00290    0.00857
6912.40534000    0.00160    0.00856
6912.40559000    -0.00047    0.00854
6912.40586000    0.00615    0.00859
6912.40612000    -0.00311    0.00847
6912.40688000    0.00001    0.00880
6912.40739000    0.00023    0.00858
6912.40815000    -0.00501    0.00914
6912.40866000    -0.00337    0.00843
6912.40892000    -0.00224    0.00843
6912.40917000    0.00477    0.00859
6912.40943000    0.00241    0.00854
6912.40969000    -0.00048    0.00845
6912.40995000    0.00169    0.00850
6912.41020000    0.00361    0.00855
6912.41046000    -0.00129    0.00845
6912.41071000    -0.00321    0.00843
6912.41147000    0.00574    0.00868
6912.41173000    0.00052    0.00849
6912.41198000    0.00071    0.00850
6912.41224000    0.00173    0.00906
6912.41249000    0.00583    0.00861
6912.41275000    0.00877    0.00903
6912.41300000    -0.00078    0.00868
6912.41326000    0.00105    0.00854
6912.41378000    0.00160    0.00854
6912.41403000    -0.00163    0.00875
6912.41429000    -0.00015    0.00852
6912.41454000    -0.00355    0.00842
6912.41480000    -0.00320    0.00843
6912.41530000    -0.00390    0.00851
